pixelx,pixely,pixelz,robotx,roboty,robotz
         225,         252,         539,           0.623788,          -0.119691,           0.055049
         226,         275,         539,           0.643819,          -0.119721,           0.055045
         226,         298,         539,           0.663791,          -0.119690,           0.055009
         226,         321,         537,           0.683790,          -0.119699,           0.054969
         226,         344,         535,           0.703804,          -0.119682,           0.055001
         226,         367,         535,           0.723793,          -0.119696,           0.054985
         226,         391,         535,           0.743785,          -0.119706,           0.054934
         249,         367,         535,           0.723762,          -0.099694,           0.054917
         249,         344,         536,           0.703786,          -0.099651,           0.054921
         249,         321,         538,           0.683791,          -0.099671,           0.054959
         249,         297,         538,           0.663760,          -0.099700,           0.054870
         249,         274,         540,           0.643801,          -0.099676,           0.054953
         248,         251,         540,           0.623771,          -0.099674,           0.054889
         248,         229,         543,           0.603758,          -0.099671,           0.054886
         248,         206,         543,           0.583764,          -0.099680,           0.054915
         248,         183,         543,           0.563804,          -0.099670,           0.054925
         247,         160,         542,           0.543866,          -0.099648,           0.055051
         247,         138,         543,           0.523748,          -0.099661,           0.054866
         247,         115,         544,           0.503772,          -0.099687,           0.054863
         247,          92,         543,           0.483777,          -0.099672,           0.054881
         246,          70,         544,           0.463782,          -0.099692,           0.054903
         246,          47,         545,           0.443782,          -0.099675,           0.054920
         245,          24,         544,           0.423780,          -0.099684,           0.054907
         269,          23,         544,           0.423805,          -0.079641,           0.055023
         269,          46,         545,           0.443790,          -0.079648,           0.055020
         269,          69,         542,           0.463830,          -0.079640,           0.055049
         270,          92,         542,           0.483832,          -0.079640,           0.055036
         270,         115,         543,           0.503807,          -0.079647,           0.055040
         270,         137,         545,           0.523792,          -0.079650,           0.055020
         270,         160,         543,           0.543809,          -0.079660,           0.055036
         271,         183,         543,           0.563809,          -0.079636,           0.055006
         271,         206,         541,           0.583816,          -0.079639,           0.054994
         271,         228,         540,           0.603819,          -0.079644,           0.055010
         271,         251,         541,           0.623803,          -0.079634,           0.055031
         272,         274,         539,           0.643812,          -0.079626,           0.055035
         272,         297,         539,           0.663806,          -0.079667,           0.054999
         272,         320,         537,           0.683817,          -0.079678,           0.055042
         272,         343,         536,           0.703815,          -0.079616,           0.055027
         272,         367,         537,           0.723814,          -0.079695,           0.054995
         273,         390,         534,           0.743812,          -0.079668,           0.054949
         273,         413,         533,           0.763796,          -0.079695,           0.054971
         296,         413,         533,           0.763841,          -0.059708,           0.054950
         296,         390,         534,           0.743764,          -0.059746,           0.054970
         296,         366,         535,           0.723761,          -0.059727,           0.054928
         295,         343,         537,           0.703741,          -0.059768,           0.054850
         295,         320,         537,           0.683764,          -0.059732,           0.054874
         295,         297,         537,           0.663770,          -0.059720,           0.054912
         294,         274,         538,           0.643771,          -0.059739,           0.054918
         294,         251,         539,           0.623767,          -0.059671,           0.054912
         294,         228,         540,           0.603774,          -0.059718,           0.054886
         294,         205,         539,           0.583816,          -0.059747,           0.054999
         293,         183,         541,           0.563766,          -0.059722,           0.054943
         293,         160,         543,           0.543770,          -0.059716,           0.054912
         293,         137,         542,           0.523764,          -0.059716,           0.054887
         293,         114,         543,           0.503777,          -0.059732,           0.054900
         292,          92,         543,           0.483754,          -0.059721,           0.054892
         292,          69,         544,           0.463780,          -0.059698,           0.054886
         292,          46,         541,           0.443793,          -0.059717,           0.054933
         291,          23,         544,           0.423761,          -0.059720,           0.054941
         314,          23,         543,           0.423830,          -0.039632,           0.055019
         315,          46,         544,           0.443771,          -0.039682,           0.054988
         315,          69,         541,           0.463818,          -0.039653,           0.055034
         315,          91,         541,           0.483834,          -0.039635,           0.055058
